model_id,likes,downloads,license,created_at,last_modified
deepseek-ai/DeepSeek-R1,12548,987589,mit,2025-01-20,2025-03-27
black-forest-labs/FLUX.1-dev,11060,1553245,other,2024-07-31,2025-06-27
CompVis/stable-diffusion-v1-4,6881,968377,creativeml-openrail-m,2022-08-20,2023-08-23
stabilityai/stable-diffusion-xl-base-1.0,6785,2462863,openrail++,2023-07-25,2023-10-30
meta-llama/Meta-Llama-3-8B,6267,412599,llama3,2024-04-17,2024-09-27
bigscience/bloom,4921,5025,bigscience-bloom-rail-1.0,2022-05-19,2023-07-28
stabilityai/stable-diffusion-3-medium,4807,16231,other,2024-05-30,2024-08-12
hexgrad/Kokoro-82M,4763,1926725,apache-2.0,2024-12-26,2025-04-10
openai/whisper-large-v3,4706,3721742,apache-2.0,2023-11-07,2024-08-12
meta-llama/Llama-2-7b-chat-hf,4524,1004608,llama2,2023-07-13,2024-04-17
mistralai/Mixtral-8x7B-Instruct-v0.1,4515,315858,apache-2.0,2023-12-10,2025-07-24
meta-llama/Llama-3.1-8B-Instruct,4389,10001312,llama3.1,2024-07-18,2024-09-25
meta-llama/Llama-2-7b,4374,940,llama2,2023-07-09,2024-04-17
black-forest-labs/FLUX.1-schnell,4130,660322,apache-2.0,2024-07-31,2024-08-16
meta-llama/Meta-Llama-3-8B-Instruct,4105,1093612,llama3,2024-04-17,2025-06-18
stabilityai/stable-diffusion-2-1,4015,912860,openrail++,2022-12-06,2023-07-05
deepseek-ai/DeepSeek-V3,3927,528327,,2024-12-25,2025-03-27
mistralai/Mistral-7B-v0.1,3908,534556,apache-2.0,2023-09-20,2025-07-24
lllyasviel/ControlNet-v1-1,3890,0,openrail,2023-04-12,2023-04-25
WarriorMama777/OrangeMixs,3860,1944,creativeml-openrail-m,2022-12-04,2024-01-07
